2026-04-06 15:22:37 | DEBUG   | dupla.runner                 | Auto-unique upload suffix: 20260406_152237
2026-04-06 15:22:39 | INFO    | dupla.runner                 | DWG uploaded as 'BLCAD14008_20260406_152237.dwg' to bucket 'dupla_dwg_bucket_test_01'
2026-04-06 15:23:30 | INFO    | dupla.runner                 | Raw Autodesk JSON saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14008.autodesk_raw.json
2026-04-06 15:23:30 | INFO    | dupla.runner                 | Normalized CAD facts saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14008.normalized.json (4 keys)
2026-04-06 15:23:30 | INFO    | dupla.multi_dwg_cad          | === APS: BLCAD14009.dwg ===
2026-04-06 15:23:32 | DEBUG   | dupla.runner                 | Auto-unique upload suffix: 20260406_152332
2026-04-06 15:23:35 | INFO    | dupla.runner                 | DWG uploaded as 'BLCAD14009_20260406_152332.dwg' to bucket 'dupla_dwg_bucket_test_01'
2026-04-06 15:24:15 | INFO    | dupla.runner                 | Raw Autodesk JSON saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14009.autodesk_raw.json
2026-04-06 15:24:15 | INFO    | dupla.runner                 | Normalized CAD facts saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14009.normalized.json (4 keys)
2026-04-06 15:24:16 | INFO    | dupla.multi_dwg_cad          | === APS: BLCAD14010.dwg ===
2026-04-06 15:24:17 | DEBUG   | dupla.runner                 | Auto-unique upload suffix: 20260406_152417
2026-04-06 15:24:20 | INFO    | dupla.runner                 | DWG uploaded as 'BLCAD14010_20260406_152417.dwg' to bucket 'dupla_dwg_bucket_test_01'
2026-04-06 15:24:50 | INFO    | dupla.runner                 | Raw Autodesk JSON saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14010.autodesk_raw.json
2026-04-06 15:24:50 | INFO    | dupla.runner                 | Normalized CAD facts saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14010.normalized.json (4 keys)
